"","sex","age","education","mdp1","mdu1","mdu2","mdu3","mdp2","mdu4","mdp3","mdp4","hh.sinc1","hh.fair1","hh.greed1","hh.mod1","hh.sinc2","hh.fair2","hh.greed2","hh.mod2","hh.sinc3","hh.fair3","hh.greed3","hh.mod3","hh.sinc4","hh.fair4","hh.greed4","hh.mod4","alt1","alt2","alt3","alt4","npi1","npi2","npi3","npi4","npi5","npi6","npi7","npi8","npi9","npi10","npi11","npi12","npi13","npi14","npi15","mach1","mach2","mach3","mach4","mach5","dc1","dc2","dc3","dc4","dc5","dc6","dc7","dc8","dc9","dc10","dc11","dc12","dc13","dc14","dc15","dc16","srp1","srp2","srp3","srp4","srp5","srp6","srp7","srp8","srp9","srp10","srp11","srp12","srp13","srp14","srp15","srp16","srp17","srp18","srp19","srp20","srp21","srp22","srp23","srp24","srp25","srp26","srp27","srp28","srp29","srp30","srp31","sinc.facet","fair.facet","greed.facet","mod.facet","hh.total","altruism","mdp.facet","mdu.facet","md.total","dc.total","mach.total","npi.total","srp.total"
"1","2",24,"5",-2,-2,-1,-1,2,2,-2,2,3,3,2,3,3,4,3,2,4,2,5,3,5,3,3,1,4,3,4,4,4,4,5,5,4,5,4,6,5,6,3,3,4,5,5,4,3,5,3,1,1,2,4,2,4,2,3,3,1,3,2,2,1,4,2,1,3,3,4,3,4,4,5,4,5,4,1,3,2,5,2,4,3,4,1,3,2,1,2,3,5,5,2,1,1,1,1,3.75,3,3.25,2.25,3.0625,3.75,0,-2,-2,2.3125,3.2,4.53333333333333,2.93333333333333
"2","1",25,"5",-2,-1,1,-2,-2,1,-1,-2,3,1,4,5,2,4,5,5,3,4,4,4,4,1,4,4,5,4,5,5,5,4,4,4,5,4,5,2,4,4,5,4,4,5,3,5,3,4,5,1,1,2,2,2,2,1,4,4,2,2,1,1,2,1,2,1,2,3,4,2,5,5,4,3,3,4,1,3,4,1,2,4,4,4,4,5,1,1,1,3,1,1,1,2,1,1,1,3,2.5,4.25,4.5,3.5625,4.75,-7,-1,-8,1.875,3.6,4.13333333333333,2.63333333333333
"3","2",25,"4",-2,-1,-1,1,1,1,-1,-2,3,3,3,3,4,3,5,4,4,3,5,5,5,2,5,5,4,3,4,5,4,2,5,4,3,4,4,3,2,6,2,3,6,4,6,6,4,3,4,2,1,2,3,1,4,1,1,5,2,1,2,1,2,1,1,3,4,3,3,2,2,2,2,4,3,2,2,1,1,3,1,2,5,4,3,1,1,1,1,5,1,5,1,2,1,1,1,4,2.75,4.5,4.25,3.875,4,-4,0,-4,1.9375,3.8,3.86666666666667,2.26666666666667
"4","1",19,"4",-1,-1,-1,-1,-1,1,-1,-2,3,2,2,4,4,4,5,3,4,2,4,3,4,4,3,2,5,4,4,3,2,3,4,2,4,4,3,4,2,4,4,3,1,3,2,3,1,2,1,2,3,2,4,2,3,2,4,2,1,2,2,1,1,2,1,1,4,1,1,3,2,1,1,3,4,2,2,4,1,1,4,1,4,2,3,4,2,1,1,2,2,1,1,5,1,2,2,3.75,3,3.5,3,3.3125,4,-5,-2,-7,2.0625,1.8,3,2.16666666666667
"5","1",24,"4",-1,-1,1,-2,2,1,1,-2,2,3,2,4,2,5,2,3,1,5,1,3,2,2,2,1,4,3,2,1,4,4,2,5,5,5,3,4,4,3,4,6,4,4,3,5,2,2,4,6,2,4,3,1,4,3,1,4,3,3,2,3,4,3,5,2,1,2,3,1,2,3,3,3,1,2,2,4,2,2,2,3,3,4,2,5,1,1,2,3,1,3,5,4,1,1,2,1.75,3.75,1.75,2.75,2.5,2.5,0,-1,-1,2.9375,3.8,4,2.43333333333333
"6","1",18,"1",-2,-2,-1,1,1,-1,-2,-1,2,1,3,3,3,2,3,5,4,2,5,4,3,1,1,5,5,5,4,5,1,1,1,6,5,4,2,5,3,4,3,6,6,4,1,5,1,4,2,3,1,1,2,1,2,1,2,3,1,3,1,2,3,2,3,2,3,4,3,4,4,4,1,4,4,5,1,4,4,4,3,4,5,3,2,5,1,1,1,4,1,3,1,4,1,1,1,3,1.5,3,4.25,2.9375,4.75,-4,-3,-7,1.875,3,3.46666666666667,2.86666666666667
"7","1",20,"4",-2,-1,-1,-2,1,1,-2,-1,2,1,2,4,3,4,4,5,3,4,3,5,4,2,3,5,4,3,5,5,4,1,2,1,5,4,4,3,2,2,4,4,3,5,3,6,4,4,3,3,5,1,2,3,2,1,2,5,2,3,2,2,3,2,2,3,3,4,5,3,1,1,2,5,2,1,2,1,3,2,5,2,2,1,1,1,3,1,1,4,1,1,3,1,1,1,1,3,2.75,3,4.75,3.375,4.25,-4,-3,-7,2.5,4,3.13333333333333,2.06666666666667
"8","1",26,"5",-2,-2,-2,-1,1,1,-2,-2,5,4,4,4,4,3,2,2,5,5,4,5,4,5,2,3,5,4,5,5,3,1,3,1,2,2,2,4,2,3,3,2,2,3,3,3,1,4,2,1,2,3,1,2,1,1,1,5,2,1,2,2,3,1,1,1,1,1,1,5,1,2,2,3,4,3,1,3,1,3,3,3,2,2,1,3,1,1,2,3,1,5,1,3,1,1,1,4.5,4.25,3,3.5,3.8125,4.75,-5,-4,-9,1.8125,2.2,2.4,2
"9","1",23,"4",-2,-2,-2,-1,-1,-1,-1,-2,2,2,3,4,2,4,5,3,2,3,5,5,3,2,4,5,5,3,5,5,4,3,4,4,3,1,3,2,1,4,2,2,3,1,4,3,2,1,2,2,3,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,3,3,1,1,2,3,1,1,1,1,3,1,3,1,4,3,1,1,1,1,1,4,1,1,1,1,1,1,1,2.25,2.75,4.25,4.25,3.375,4.5,-6,-6,-12,1.3125,2,2.73333333333333,1.56666666666667
"10","2",20,"4",-2,-2,-2,-2,-2,-2,-2,-2,4,5,4,4,2,5,5,5,3,5,3,5,2,5,4,5,5,4,4,5,4,2,3,4,5,3,3,4,3,3,4,4,3,5,4,1,1,1,1,1,1,2,1,1,3,1,2,2,2,3,2,2,1,1,2,1,5,1,4,3,4,3,1,5,3,1,1,1,1,2,5,2,1,1,1,5,1,1,4,5,1,5,1,5,1,5,3,2.75,5,4,4.75,4.125,4.5,-8,-8,-16,1.6875,1,3.6,2.63333333333333
